date;animal quantity;grass quantity;average animal energy;average animal life span;average children quantity;
0;20;0;100.0;0.0;0.0;
1;21;2;94.33;0.0;0.1;
2;22;4;89.14;0.0;0.18;
3;23;6;84.35;0.0;0.26;
4;23;8;83.35;0.0;0.26;
5;23;10;82.35;0.0;0.26;
6;23;12;81.35;0.0;0.26;
7;23;13;80.78;0.0;0.26;
8;23;14;80.22;0.0;0.26;
9;24;16;75.96;0.0;0.33;
10;25;18;72.0;0.0;0.4;
11;26;19;68.69;0.0;0.46;
12;26;21;67.69;0.0;0.46;
13;26;22;67.08;0.0;0.46;
14;28;23;61.71;0.0;0.57;
15;28;24;61.07;0.0;0.57;
16;28;24;60.79;0.0;0.57;
17;29;25;58.1;0.0;0.62;
18;31;26;53.77;0.0;0.71;
19;31;28;52.77;0.0;0.71;
20;32;28;50.78;0.0;0.75;
21;32;29;50.09;0.0;0.75;
22;32;31;49.09;0.0;0.75;
23;32;28;49.66;0.0;0.75;
24;32;30;48.66;0.0;0.75;
25;32;31;47.97;0.0;0.75;
26;32;30;47.91;0.0;0.75;
27;32;32;46.91;0.0;0.75;
28;32;30;47.16;0.0;0.75;
29;32;30;46.78;0.0;0.75;
30;32;30;46.41;0.0;0.75;
31;33;29;44.94;0.0;0.79;
32;34;29;43.26;0.0;0.82;
33;34;30;42.56;0.0;0.82;
34;34;31;41.85;0.0;0.82;
35;34;31;41.44;0.0;0.82;
36;34;30;41.32;0.0;0.82;
37;35;31;39.46;0.0;0.86;
38;35;31;39.03;0.0;0.86;
39;35;29;39.17;0.0;0.86;
40;35;30;38.46;0.0;0.86;
41;35;29;38.31;0.0;0.86;
42;36;30;36.56;0.0;0.89;
43;36;30;36.11;0.0;0.89;
44;37;31;34.43;0.0;0.92;
45;37;31;33.97;0.0;0.92;
46;37;31;33.51;0.0;0.92;
47;37;31;33.05;0.0;0.92;
48;37;32;32.32;0.0;0.92;
49;37;32;31.86;0.0;0.92;
50;36;34;31.75;48.0;0.94;
51;35;34;32.23;48.0;0.97;
52;35;32;32.37;48.0;0.97;
53;36;32;31.06;48.0;1.0;
54;36;31;30.89;48.0;1.0;
55;36;32;30.17;48.0;1.0;
56;35;33;30.31;50.67;0.94;
57;35;32;30.17;50.67;0.94;
58;35;32;29.74;50.67;0.94;
59;35;32;29.31;50.67;0.94;
60;34;32;29.76;48.5;0.97;
61;34;33;29.06;48.5;0.97;
62;34;33;28.65;48.5;0.97;
63;34;32;28.53;48.5;0.97;
64;34;31;28.41;48.5;0.97;
65;33;31;28.88;50.0;1.0;
66;31;31;30.39;50.15;1.0;
67;31;32;29.71;50.15;1.0;
68;31;32;29.35;50.15;1.0;
69;31;33;28.68;50.15;1.0;
70;31;35;27.68;50.15;1.0;
71;31;34;27.65;50.15;1.0;
72;30;34;28.23;52.88;0.97;
73;29;34;28.9;55.12;0.93;
74;29;35;28.24;55.12;0.93;
75;29;35;27.93;55.12;0.93;
76;27;36;29.37;58.92;0.81;
77;26;36;30.27;56.76;0.85;
78;25;37;30.88;58.39;0.76;
79;25;38;30.28;58.39;0.76;
80;25;37;30.48;58.39;0.76;
81;25;37;30.28;58.39;0.76;
82;25;37;30.08;58.39;0.76;
83;25;36;30.28;58.39;0.76;
84;25;38;29.28;58.39;0.76;
85;25;38;29.08;58.39;0.76;
86;25;40;28.08;58.39;0.76;
87;25;41;27.48;58.39;0.76;
88;25;42;26.88;58.39;0.76;
89;25;40;27.48;58.39;0.76;
90;24;40;28.46;59.65;0.79;
91;23;38;30.43;61.01;0.83;
92;23;37;30.74;61.01;0.83;
93;23;38;30.17;61.01;0.83;
94;22;38;31.45;60.76;0.86;
95;22;37;31.82;60.76;0.86;
96;22;38;31.27;60.76;0.86;
97;22;39;30.73;60.76;0.86;
98;22;40;30.18;60.76;0.86;
99;20;40;33.2;64.07;0.9;
100;20;41;32.7;64.07;0.9;
101;19;41;34.47;65.96;0.95;
102;19;42;34.0;65.96;0.95;
103;19;42;34.05;65.96;0.95;
104;19;41;34.63;65.96;0.95;
105;18;42;36.11;66.91;1.0;
106;17;42;38.41;66.25;1.06;
107;17;42;38.59;66.25;1.06;
108;17;42;38.76;66.25;1.06;
109;17;42;38.94;66.25;1.06;
110;17;43;38.53;66.25;1.06;
111;17;43;38.71;66.25;1.06;
112;17;44;38.29;66.25;1.06;
113;17;44;38.47;66.25;1.06;
114;17;46;37.47;66.25;1.06;
115;17;46;37.65;66.25;1.06;
116;17;48;36.65;66.25;1.06;
117;17;46;37.41;66.25;1.06;
118;17;48;36.41;66.25;1.06;
119;17;47;36.59;66.25;1.06;
120;17;46;36.76;66.25;1.06;
121;16;46;39.31;68.74;1.13;
122;16;46;39.56;68.74;1.13;
123;16;47;39.19;68.74;1.13;
